"","country","condoms","lubricants","prep","pep","needle","ost","naloxone","pit","cbt","lpt","st","apn","art","adherence","pmtct","sti","anc","lawsb","lawss","trainhcw","trainofficers","engage","services","empowerment","violencep","violencem","pop","X","alpha2","alpha3","numeric","latitude","longitude","penalty","population","jhu_ID","global_level","continent_level"
"1","Algeria",1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,"msm",171,"DZ","DZA",12,28,3,1.3,43851000,"Algeria","Global","Africa"
"2","Angola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"msm",41,"AO","AGO",24,-12.5,18.5,1.3,32866000,"Angola","Global","Africa"
"3","Benin",1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"msm",93,"BJ","BEN",204,9.5,2.25,1.3,12123000,"Benin","Global","Africa"
"4","Botswana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"msm",18,"BW","BWA",72,-22,24,1.3,2352000,"Botswana","Global","Africa"
"5","Burkina Faso",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"msm",105,"BF","BFA",854,13,-2,1.3,20903000,"BurkinaFaso","Global","Africa"
"6","Burundi",0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,"msm",56,"BI","BDI",108,-3.5,30,1.3,11891000,"Burundi","Global","Africa"
"7","Cape Verde",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"msm",128,"CV","CPV",132,16,-24,1.3,556000,"CapeVerde","Global","Africa"
"8","Cameroon",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,"msm",77,"CM","CMR",120,6,12,1.3,26546000,"Cameroon","Global","Africa"
"9","Central African Republic",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"msm",80,"CF","CAF",140,7,21,1.3,4830000,"CentralAfricanRepublic","Global","Africa"
"10","Chad",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,"msm",119,"TD","TCD",148,15,19,1.3,16426000,"Chad","Global","Africa"
"11","Comoros",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"msm",43,"KM","COM",174,-12.1667,44.25,1.3,870000,"Comoros","Global","Africa"
"12","Congo",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,"msm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Côte d’Ivoire",1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,"msm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Democratic Republic of the Congo",1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"msm",62,"CD","COD",180,0,25,1.3,89561000,"DemocraticRepublicoftheCongo","Global","Africa"
"15","Eritrea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"msm",120,"ER","ERI",232,15,39,1.3,3546000,"Eritrea","Global","Africa"
"16","Ethiopia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"msm",84,"ET","ETH",231,8,38,1.3,114964000,"Ethiopia","Global","Africa"
"17","Gambia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"msm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Ghana",1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,"msm",85,"GH","GHA",288,8,-2,1.3,31073000,"Ghana","Global","Africa"
"19","Guinea",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,"msm",97,"GN","GIN",324,11,-10,1.3,13133000,"Guinea","Global","Africa"
"20","Guinea-Bissau",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"msm",101,"GW","GNB",624,12,-15,1.3,1968000,"GuineaBissau","Global","Africa"
"21","Kenya",1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,"msm",63,"KE","KEN",404,1,38,1.3,53771000,"Kenya","Global","Africa"
"22","Lesotho",1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,"msm",11,"LS","LSO",426,-29.5,28.5,1.3,2142000,"Lesotho","Global","Africa"
"23","Liberia",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"msm",78,"LR","LBR",430,6.5,-9.5,1.3,5058000,"Liberia","Global","Africa"
"24","Madagascar",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"msm",24,"MG","MDG",450,-20,47,1.3,27691000,"Madagascar","Global","Africa"
"25","Malawi",1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,"msm",38,"MW","MWI",454,-13.5,34,1.3,19130000,"Malawi","Global","Africa"
"26","Mali",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"msm",134,"ML","MLI",466,17,-4,1.3,20251000,"Mali","Global","Africa"
"27","Mauritania",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"msm",149,"MR","MRT",478,20,-12,1.3,4650000,"Mauritania","Global","Africa"
"28","Mauritius",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,"msm",23,"MU","MUS",480,-20.2833,57.55,1.3,1272000,"Mauritius","Global","Africa"
"29","Mozambique",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"msm",28,"MZ","MOZ",508,-18.25,35,1.3,31255000,"Mozambique","Global","Africa"
"30","Nambia",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"msm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Niger",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,"msm",129,"NE","NER",562,16,8,1.3,24207000,"Niger","Global","Africa"
"32","Nigeria",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"msm",95,"NG","NGA",566,10,8,1.3,206140000,"Nigeria","Global","Africa"
"33","Rwanda",1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,"msm",58,"RW","RWA",646,-2,30,1.3,12952000,"Rwanda","Global","Africa"
"34","Sao Tome and Principe",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"msm",64,"ST","STP",678,1,7,1.3,219000,"SaoTomeandPrincipe","Global","Africa"
"35","Senegal",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,"msm",117,"SN","SEN",686,14,-14,1.3,16744000,"Senegal","Global","Africa"
"36","Seychelles",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"msm",55,"SC","SYC",690,-4.5833,55.6667,1.3,98000,"Seychelles","Global","Africa"
"37","Sierra Leone",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,"msm",90,"SL","SLE",694,8.5,-11.5,1.3,7977000,"SierraLeone","Global","Africa"
"38","South Africa",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"msm",13,"ZA","ZAF",710,-29,24,1.3,59309000,"SouthAfrica","Global","Africa"
"39","South Sudan",1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,"msm",259,"SS","SSD",728,6.88,31.3,1.3,11194000,"SouthSudan","Global","Africa"
"40","Swaziland",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,"msm",15,"SZ","SWZ",748,-26.5,31.5,1.3,1160000,"Swaziland","Global","Africa"
"41","Togo",1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,"msm",87,"TG","TGO",768,8,1.1667,1.3,8279000,"Togo","Global","Africa"
"42","Uganda",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,"msm",65,"UG","UGA",800,1,32,1.3,45741000,"Uganda","Global","Africa"
"43","United Republic of Tanzania",1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,"msm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Zambia",1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,"msm",35,"ZM","ZMB",894,-15,30,1.3,18384000,"Zambia","Global","Africa"
"45","Zimbabwe",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,"msm",26,"ZW","ZWE",716,-20,30,1.3,14863000,"Zimbabwe","Global","Africa"
"46",NA,37,22,6,7,2,2,0,8,10,0,3,0,11,12,0,23,0,11,14,13,8,16,23,12,7,0,"msm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"msm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
